Timestamp,Attraction,Queue_Length,Ride_Throughput,Visitor_Count,Visitor_ID,Step_Count,Transaction_Amount,Check_In_Time,Check_Out_Time,Loyalty_Member,Weather_Condition,Age,Gender,Guest_Satisfaction_Score
2025-02-22 09:36:08.352838755,Transformers: The Ride,47,33,8,1,17893,79.37441873231626,12.834809601150805,18.83707912843658,No,Rainy,8,Female,1.442527421635661
2025-02-28 01:55:48.618790865,Transformers: The Ride,51,30,10,2,8278,132.4363700990205,10.889348088310838,17.84917756952677,No,Cloudy,53,Male,2.021107006594944
2025-02-23 10:40:11.635636568,Transformers: The Ride,40,25,8,3,15908,172.18451557016903,12.928976581876585,17.134646975066232,Yes,Cloudy,24,Female,4.9614591679499025
2025-02-21 07:41:24.544394493,Transformers: The Ride,42,32,14,4,8564,163.29566473561817,11.248731050529091,17.677108140316708,No,Sunny,33,Female,2.9497278394005026
2025-02-23 08:03:11.064503670,Sesame Street Spaghetti Space Chase,42,36,6,5,8215,104.20433226180197,12.340287253935825,19.46404333433614,No,Sunny,42,Female,2.5498218904841377
2025-02-18 17:46:32.060676098,Battlestar Galactica: CYLON,55,32,9,6,7076,180.76234577741607,9.572108226106833,21.578120905942146,No,Cloudy,32,Female,3.3470557172462554
2025-02-28 12:11:07.223513842,Puss In Boots' Giant Journey,24,26,16,7,14100,144.3617136780842,12.739200792367686,21.77910149357497,Yes,Sunny,34,Female,4.574162342565667
2025-03-01 22:11:39.886936665,Transformers: The Ride,30,22,7,8,12856,114.46925772736553,12.766875373397966,19.175242896550238,Yes,Sunny,24,Female,1.6352787115429077
2025-02-24 18:25:59.567002535,Transformers: The Ride,49,28,9,9,12789,112.72403912013111,9.864777800094872,20.997041113072516,Yes,Rainy,45,Female,1.5889564403350613
2025-02-25 07:00:33.745154142,Battlestar Galactica: CYLON,44,18,8,10,12553,176.50855250954592,9.665656024916544,20.116997101585408,No,Cloudy,36,Male,1.5144685929938628
2025-02-19 05:21:45.816772461,Sesame Street Spaghetti Space Chase,56,34,6,11,11351,65.7058552030352,9.52981571031676,20.875752608106616,Yes,Sunny,24,Female,1.1916603579676572
2025-02-17 00:56:12.890927553,Puss In Boots' Giant Journey,57,26,12,12,11616,128.18569044858685,9.869198701600052,18.701027163484092,No,Sunny,35,Male,1.665458676957638
2025-02-15 20:07:51.325200558,Sesame Street Spaghetti Space Chase,49,27,7,13,13914,68.22226046231317,11.729561464751006,20.739025286642473,No,Sunny,33,Male,4.711213485624513
2025-02-24 16:10:10.822835684,Battlestar Galactica: CYLON,51,25,13,14,11086,114.85901158832432,12.59891430629689,18.756917012542285,No,Cloudy,20,Male,4.5585098271558575
2025-02-28 13:38:41.460558414,Battlestar Galactica: CYLON,55,25,12,15,18661,144.881284411433,10.254922719568626,21.306521996012624,Yes,Sunny,36,Male,4.6485369078795005
2025-02-22 15:09:27.641469479,Battlestar Galactica: CYLON,51,33,18,16,13215,73.51404065550238,9.669672005200754,22.013516379908847,No,Cloudy,34,Female,2.8788123699516794
2025-02-16 05:49:23.137826681,Transformers: The Ride,28,28,8,17,10863,126.02729814873442,11.15918626933773,19.078520774398218,No,Sunny,45,Female,4.774868025963879
2025-02-17 20:52:21.842988014,Battlestar Galactica: CYLON,49,30,9,18,10831,115.46654949583466,11.82357038597052,18.460340129039846,Yes,Cloudy,24,Female,1.8476445523734684
2025-02-20 02:59:55.791718006,Revenge of the Mummy,29,27,12,19,11119,130.5802374339495,11.199999991203306,19.37976853384964,Yes,Cloudy,38,Female,1.2072718265809443
2025-02-24 03:35:25.077222109,Puss In Boots' Giant Journey,33,24,9,20,15469,173.263614310802,10.83168898382359,19.45847301028069,Yes,Cloudy,24,Female,4.433326291866012
2025-02-22 15:09:25.405623674,Transformers: The Ride,46,26,16,21,19382,125.28288383437416,12.940851970346401,18.66656484136916,No,Cloudy,30,Female,4.915629055748447
2025-02-25 05:01:44.680360317,Revenge of the Mummy,44,29,11,22,6877,131.32843134022397,12.42758543694018,20.19934517014333,Yes,Cloudy,29,Female,4.2501639333824315
2025-02-15 16:17:26.910866737,Transformers: The Ride,49,29,14,23,14560,137.70113455149468,11.851549549906316,21.056094540975693,No,Cloudy,29,Female,4.64940549595112
2025-02-15 23:37:36.386547565,Transformers: The Ride,57,31,16,24,17894,154.43824250566485,13.019403736195,21.923990783979757,Yes,Cloudy,37,Female,1.2549682147119186
2025-02-21 03:18:32.531337737,Transformers: The Ride,45,31,11,25,14540,114.50333781353135,12.777944185062033,21.681005951320355,No,Cloudy,32,Female,4.65260768647203
2025-02-15 13:16:19.584647655,Sesame Street Spaghetti Space Chase,21,36,12,26,10043,117.45230597899591,10.34196833810683,21.860701459312367,No,Rainy,11,Female,4.618742605771053
2025-02-23 14:59:21.833989382,Transformers: The Ride,28,24,13,27,9758,146.74205516767955,11.865876983474514,20.391709762820106,No,Rainy,37,Male,4.447614182691714
2025-02-18 10:44:18.120674849,Sesame Street Spaghetti Space Chase,39,35,16,28,5696,65.55223880157546,9.94912746784446,19.74186017053804,No,Rainy,18,Female,2.5406117863239284
2025-02-26 08:11:47.853846550,Puss In Boots' Giant Journey,39,35,8,29,9952,109.23376142321776,13.188796702648697,20.389605740145708,No,Sunny,23,Male,4.811622570390759
2025-02-16 20:00:12.137734413,Battlestar Galactica: CYLON,33,18,5,30,12662,75.38906125094216,12.399035740606449,19.185745101868324,No,Sunny,26,Male,4.803162842073928
2025-02-27 19:29:29.160347223,Sesame Street Spaghetti Space Chase,12,35,9,31,9872,101.646546647906,10.542754252826807,21.39318454397094,No,Rainy,38,Female,2.175275889368323
2025-02-19 18:49:21.497447491,Battlestar Galactica: CYLON,64,29,10,32,10940,107.57632786942564,12.800406760813901,20.514370325436364,No,Cloudy,29,Female,3.3016786844141603
2025-02-21 15:05:36.549176931,Revenge of the Mummy,31,26,7,33,11290,78.95520184877888,12.930979535434656,19.13645723125148,No,Sunny,25,Male,1.3929443378012003
2025-02-17 15:20:59.997900248,Transformers: The Ride,66,23,13,34,7039,56.656591276108685,10.533945811859605,17.48620406130613,No,Sunny,27,Male,1.266049763656702
2025-02-22 09:51:42.277547359,Revenge of the Mummy,48,32,13,35,8423,93.57781493231208,10.127149603730889,20.21083042357863,No,Cloudy,28,Female,4.747265128410612
2025-02-20 10:09:04.517038584,Revenge of the Mummy,43,25,7,36,15917,136.38980126520673,11.848053104571429,21.51770741988396,Yes,Sunny,33,Female,4.777282856816274
2025-02-26 18:52:19.648101568,Sesame Street Spaghetti Space Chase,28,34,12,37,10386,116.43372062113909,10.66076697956806,21.76802633488269,No,Sunny,33,Male,4.229318826708506
2025-02-23 08:25:20.938466787,Battlestar Galactica: CYLON,23,24,8,38,7719,52.67435281292357,12.880571794643531,17.474538322617132,Yes,Cloudy,30,Male,3.979392474926671
2025-02-18 21:35:30.727079391,Sesame Street Spaghetti Space Chase,44,27,17,39,12958,154.9505326598956,12.827287274111812,21.15416875563963,No,Cloudy,32,Male,4.236969410142217
2025-02-24 19:55:03.064685583,Transformers: The Ride,26,33,8,40,13495,65.91483423435255,11.182520539080388,18.85237757098375,Yes,Rainy,46,Female,4.499569559265226
2025-02-23 12:29:42.701988459,Puss In Boots' Giant Journey,16,18,9,41,14993,84.41628266008632,12.415851622383686,21.349255060564417,No,Sunny,25,Male,2.012863115953876
2025-02-25 14:34:58.423310041,Puss In Boots' Giant Journey,46,35,12,42,9535,103.89408999565191,9.333781386885558,20.025647260065163,No,Sunny,38,Female,4.495681508192317
2025-02-18 20:57:11.345293999,Battlestar Galactica: CYLON,46,38,11,43,11591,133.95502956825513,12.631906123852675,21.463394037002242,No,Cloudy,46,Female,3.552734585260112
