Timestamp,Attraction,Queue_Length,Ride_Throughput,Visitor_Count,Visitor_ID,Spending_Amount,Check_In_Time,Check_Out_Time,Loyalty_Member,Age,Gender,Weather_Condition,Step_Count,Guest_Satisfaction_Score,Date
2025-02-18 23:05:13.947543040,Battlestar Galactica: CYLON,41,22,21,1,201,9.130562852028842,17.98985019361179,Yes,26,Male,Rainy,10674,0.8678396528994696,2025-02-24
2025-03-01 15:42:37.008964864,Puss In Boots' Giant Journey,40,27,24,2,207,10.398843221600421,17.387684454718396,Yes,31,Male,Cloudy,22131,4.468029506000671,2025-02-28
2025-02-26 23:11:16.978837248,Battlestar Galactica: CYLON,49,22,18,3,83,11.25517357199968,18.412567616663924,Yes,42,Female,Cloudy,17304,2.003641946779446,2025-02-16
2025-02-28 06:44:36.934126848,Sesame Street Spaghetti Space Chase,43,28,23,4,127,12.620527144884486,20.97058722982959,No,28,Male,Cloudy,13227,4.762148423751746,2025-02-28
2025-02-22 00:08:09.978634496,Revenge of the Mummy,65,29,20,5,197,11.345304486357197,18.485146501894963,Yes,32,Male,Cloudy,12309,2.5222830839406365,2025-02-23
2025-02-15 22:30:40.894406912,Battlestar Galactica: CYLON,38,24,24,6,183,10.714448919177926,21.188344533625884,No,31,Male,Cloudy,6457,4.581498449067882,2025-02-25
2025-02-26 15:09:45.015114752,Revenge of the Mummy,76,28,24,7,106,11.476112197822308,20.161135035093345,Yes,34,Male,Cloudy,15999,3.5303924642215536,2025-03-02
2025-02-26 07:57:17.951975936,Transformers: The Ride,35,30,13,8,126,9.7008168342952,18.37636492415025,No,25,Female,Cloudy,15098,1.7403780461388378,2025-02-20
2025-02-19 12:19:33.879388928,Sesame Street Spaghetti Space Chase,28,22,18,9,136,11.874097089109894,20.734661876302237,Yes,27,Female,Cloudy,13173,3.167232321202789,2025-02-18
2025-02-22 18:16:25.252895744,Transformers: The Ride,65,31,28,10,152,10.974397211419262,21.462754146404446,No,38,Male,Sunny,11216,2.0699833838342436,2025-02-19
2025-02-23 12:27:31.327630592,Revenge of the Mummy,34,17,20,11,186,12.719976974061483,17.294004295962687,Yes,34,Female,Cloudy,10085,3.119822916497871,2025-02-24
2025-02-28 05:01:07.529089792,Sesame Street Spaghetti Space Chase,31,29,13,12,135,12.725608381106566,17.972983262540136,Yes,31,Female,Cloudy,8550,0.8870634507127855,2025-02-24
2025-02-22 02:24:34.887663360,Revenge of the Mummy,28,33,25,13,125,9.487475746267751,17.690179904731785,Yes,29,Female,Sunny,8186,3.038174455185195,2025-02-17
2025-02-22 08:00:21.500510208,Revenge of the Mummy,41,26,25,14,124,12.378675445845133,20.304466955769154,No,34,Female,Cloudy,9481,2.287098758883976,2025-02-23
2025-02-16 06:39:32.795464448,Sesame Street Spaghetti Space Chase,49,26,11,15,164,10.110178973800785,18.785850372901454,No,22,Female,Rainy,9072,2.1747568280176397,2025-02-15
